date,opt_type,strike,entry_time,exit_time,opt_entry,opt_exit,max_price,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260304,PE,24400,2026-03-04 11:31:00.381000+05:30,2026-03-04 13:08:00.167000+05:30,318.1,280.9,327.9,65,-2418.0,91.6,-2509.6,Flip,2026-03
20260304,PE,24400,2026-03-04 15:10:00.322000+05:30,2026-03-04 15:25:59.837000+05:30,283.0,284.7,289.0,65,110.5,91.05,19.45,EOD,2026-03
20260305,CE,24600,2026-03-05 10:43:00.191000+05:30,2026-03-05 11:37:01.089000+05:30,255.9,223.55,279.9,65,-2102.75,82.62,-2185.37,Flip,2026-03
20260305,CE,24600,2026-03-05 12:22:00.680000+05:30,2026-03-05 13:52:00.966000+05:30,244.1,219.6,264.0,65,-1592.5,81.78,-1674.28,Flip,2026-03
20260305,CE,24600,2026-03-05 14:37:00.202000+05:30,2026-03-05 14:41:26.641000+05:30,228.0,329.85,329.85,65,6620.25,95.07,6525.18,DPT,2026-03
20260305,PE,24600,2026-03-05 11:37:01.089000+05:30,2026-03-05 12:21:00.575000+05:30,228.1,210.9,247.7,65,-1118.0,80.22,-1198.22,Flip,2026-03
20260305,PE,24600,2026-03-05 13:42:00.932000+05:30,2026-03-05 14:29:00.284000+05:30,219.95,205.9,252.5,65,-913.25,79.36,-992.61,Flip,2026-03
20260305,PE,24600,2026-03-05 15:15:00.474000+05:30,2026-03-05 15:25:59.735000+05:30,172.7,169.15,173.55,65,-230.75,73.39,-304.14,EOD,2026-03
20260306,CE,24600,2026-03-06 13:38:00.358000+05:30,2026-03-06 14:43:00.606000+05:30,226.65,192.75,230.95,65,-2203.5,77.91,-2281.41,Flip,2026-03
20260309,CE,23900,2026-03-09 10:52:01.071000+05:30,2026-03-09 11:40:22.201000+05:30,188.7,230.15,230.15,65,2694.25,81.47,2612.78,DPT,2026-03
20260310,CE,24200,2026-03-10 12:55:00.496000+05:30,2026-03-10 14:09:09.357000+05:30,68.5,108.75,108.75,65,2616.25,62.79,2553.46,DPT,2026-03
20260310,PE,24200,2026-03-10 11:51:00.341000+05:30,2026-03-10 13:02:01.114000+05:30,58.45,33.45,94.35,65,-1625.0,53.09,-1678.09,Flip,2026-03
20260311,CE,24250,2026-03-11 13:31:00.416000+05:30,2026-03-11 14:19:00.631000+05:30,191.95,161.35,192.6,65,-1989.0,72.98,-2061.98,Flip,2026-03
20260311,PE,24250,2026-03-11 14:25:00.614000+05:30,2026-03-11 14:30:00.296000+05:30,484.0,421.2,490.3,65,-4082.0,113.99,-4195.99,Flip,2026-03
20260312,CE,23600,2026-03-12 10:38:00.990000+05:30,2026-03-12 13:02:01.352000+05:30,357.0,311.75,387.0,65,-2941.25,96.6,-3037.85,Flip,2026-03
20260312,CE,23600,2026-03-12 13:25:00.538000+05:30,2026-03-12 14:09:00.508000+05:30,342.95,338.2,413.3,65,-308.75,99.49,-408.24,Flip,2026-03
20260312,PE,23600,2026-03-12 11:22:00.527000+05:30,2026-03-12 12:23:00.257000+05:30,230.1,181.8,232.6,65,-3139.5,76.65,-3216.15,Flip,2026-03
20260312,PE,23600,2026-03-12 13:07:01.035000+05:30,2026-03-12 13:25:00.538000+05:30,213.65,175.1,213.85,65,-2505.75,75.33,-2581.08,Flip,2026-03
20260312,PE,23600,2026-03-12 14:00:00.076000+05:30,2026-03-12 15:25:59.806000+05:30,178.65,222.5,237.35,65,2850.25,80.22,2770.03,EOD,2026-03
